"01coin","zoc"
"aardvark-2","vark"
"aarma","arma"
"aastoken","aast"
"aave","aave"
"aave-aave","aaave"
"aave-amm-bptbalweth","aammbptbalweth"
"aave-amm-bptwbtcweth","aammbptwbtcweth"
"aave-amm-dai","aammdai"
"aave-amm-uniaaveweth","aammuniaaveweth"
"aave-amm-unibatweth","aammunibatweth"
"aave-amm-unicrvweth","aammunicrvweth"
"aave-amm-unidaiusdc","aammunidaiusdc"
"aave-amm-unidaiweth","aammunidaiweth"
"aave-amm-unilinkweth","aammunilinkweth"
"aave-amm-unimkrweth","aammunimkrweth"
"aave-amm-unirenweth","aammunirenweth"
"aave-amm-unisnxweth","aammunisnxweth"
"aave-amm-uniuniweth","aammuniuniweth"
"aave-amm-uniusdcweth","aammuniusdcweth"
"aave-amm-uniwbtcusdc","aammuniwbtcusdc"
"aave-amm-uniwbtcweth","aammuniwbtcweth"
"aave-amm-uniyfiweth","aammuniyfiweth"
"aave-amm-usdc","aammusdc"
"aave-amm-usdt","aammusdt"
"aave-amm-wbtc","aammwbtc"
"aave-amm-weth","aammweth"
"aave-bal","abal"
"aave-balancer-pool-token","abpt"
"aave-bat","abat"
"aave-bat-v1","abat"
"aave-busd","abusd"
"aave-busd-v1","abusd"
"aave-crv","acrv"
"aave-dai","adai"
"aave-dai-v1","adai"
"aave-enj","aenj"
"aave-enj-v1","aenj"
"aave-eth-v1","aeth"
"aavegotchi","ghst"
"aavegotchi-alpha","alpha"
"aavegotchi-fomo","fomo"
"aavegotchi-fud","fud"
"aavegotchi-kek","kek"
"aave-gusd","agusd"
"aave-interest-bearing-steth","asteth"
"aave-knc","aknc"
"aave-knc-v1","aknc"
"aave-link","alink"
"aave-link-v1","alink"
"aave-mana","amana"
"aave-mana-v1","amana"
"aave-mkr","amkr"
"aave-mkr-v1","amkr"
"aave-polygon-aave","amaave"
"aave-polygon-dai","amdai"
"aave-polygon-usdc","amusdc"
"aave-polygon-usdt","amusdt"
"aave-polygon-wbtc","amwbtc"
"aave-polygon-weth","amweth"
"aave-polygon-wmatic","amwmatic"
"aave-rai","arai"
"aave-ren","aren"
"aave-ren-v1","aren"
"aave-snx","asnx"
"aave-snx-v1","asnx"
"aave-stkgho","stkgho"
"aave-susd","asusd"
"aave-susd-v1","asusd"
"aave-tusd","atusd"
"aave-tusd-v1","atusd"
"aave-uni","auni"
"aave-usdc","ausdc"
"aave-usdc-v1","ausdc"
"aave-usdt","ausdt"
"aave-usdt-v1","ausdt"
"aave-v3-1inch","a1inch"
"aave-v3-aave","aaave"
"aave-v3-ageur","aageur"
"aave-v3-arb","aarb"
"aave-v3-bal","abal"
"aave-v3-btc-b","abtc.b"
"aave-v3-cbeth","acbeth"
"aave-v3-crv","acrv"
"aave-v3-dai","adai"
"aave-v3-dpi","adpi"
"aave-v3-ens","aens"
"aave-v3-eure","aeure"
"aave-v3-eurs","aeurs"
"aave-v3-frax","afrax"
"aave-v3-ghst","aghst"
"aave-v3-gno","agno"
"aave-v3-knc","aknc"
"aave-v3-ldo","aldo"
"aave-v3-link","alink"
"aave-v3-lusd","alusd"
"aave-v3-mai","amai"
"aave-v3-maticx","amaticx"
"aave-v3-metis","ametis"
"aave-v3-mkr","amkr"
"aave-v3-op","aop"
"aave-v3-reth","areth"
"aave-v3-rpl","arpl"
"aave-v3-savax","asavax"
"aave-v3-sdai","asdai"
"aave-v3-snx","asnx"
"aave-v3-stg","astg"
"aave-v3-stmatic","astmatic"
"aave-v3-susd","asusd"
"aave-v3-sushi","asushi"
"aave-v3-uni","auni"
"aave-v3-usdbc","ausdbc"
"aave-v3-usdc","ausdc"
"aave-v3-usdc-e","ausdc.e"
"aave-v3-usdt","ausdt"
"aave-v3-wavax","awavax"
"aave-v3-wbtc","awbtc"
"aave-v3-weth","aweth"
"aave-v3-wmatic","awmatic"
"aave-v3-wsteth","awsteth"
"aave-wbtc","awbtc"
"aave-wbtc-v1","awbtc"
"aave-weth","aweth"
"aave-xsushi","axsushi"
"aave-yfi","ayfi"
"aave-yvault","yvaave"
"aave-zrx","azrx"
"aave-zrx-v1","azrx"
"abachi-2","abi"
"abble","aabl"
"abcmeta","meta"
"abc-pos-pool","abc"
"abel-finance","abel"
"abelian","abel"
"abey","abey"
"able-finance","able"
"aboat-token-2","aboat"
"abond","abond"
"absolute-sync-token","ast"
"abyss-world","awt"
"acala","aca"
"acala-dollar-acala","ausd"
"access-protocol","acs"
"acent","ace"
"acetoken","ace"
"acet-token","act"
"achain","act"
"achi","achi"
"achi-inu","achi"
"acid","acid"
"ackchyually","actly"
"acknoledger","ack"
"acmfinance","acm"
"ac-milan-fan-token","acm"
"acoconut","ac"
"acorn-protocol","acn"
"acquire-fi","acq"
"acria","acria"
"acria-ai-aimarket","aimarket"
"across-protocol","acx"
"acryptos","acs"
"acryptos-2","acs"
"acryptosi","acsi"
"actinium","acm"
"action-coin","actn"
"acurast","acu"
"acute-angle-cloud","aac"
"adacash","adacash"
"adadao","adao"
"adadex","adex"
"adamant","addy"
"adamant-messenger","adm"
"adanaspor-fan-token","adana"
"adapad","adapad"
"ada-peepos","fren"
"adappter-token","adp"
"adapt3r-digital-treasury-bill-fund","tfbill"
"adaswap","asw"
"ada-the-dog","ada"
"adax","adax"
"adazoo","zoo"
"add-finance","add"
"addy","addy"
"adex","adx"
"adil-chain","adil"
"a-dog-in-the-matrix","matrix"
"ado-network","ado"
"adonis-2","adon"
"adreward","ad"
"adroverse","adr"
"adshares","ads"
"adult-playground","adult"
"adv3nture-xyz-gemstone","gem"
"adv3nture-xyz-gold","gold"
"advanced-united-continent","auc"
"advantis","advt"
"adventure-gold","agld"
"adventurer-gold","gold"
"advertise-coin","adco"
"aeggs","aeggs"
"aegis","ags"
"aegis-ai","aegis"
"aegis-token-f7934368-2fb3-4091-9edc-39283e87f55d","on"
"aelf","elf"
"aelin","aelin"
"aelysir","ael"
"aeon","aeon"
"aeonodex","aeonodex"
"aepos-network","aepos"
"aerarium-fi","aera"
"aerdrop","aer"
"aergo","aergo"
"aerodrome-finance","aero"
"aeron","arnx"
"aerovek-aviation","aero"
"aesirx","aesirx"
"aet","aet"
"aeternity","ae"
"aether-games","aeg"
"aethir","ath"
"aeusd","aeusd"
"aevo-exchange","aevo"
"aevum-ore","aevum"
"aezora","azr"
"afen-blockchain","afen"
"affinity","afnty"
"affyn","fyn"
"afin-coin","afin"
"afkdao","afk"
"afk-trading-bot","afk"
"afreum","afr"
"africarare","ubu"
"afrix","afx"
"afrostar","afro"
"aftermath-staked-sui","afsui"
"a-fund-baby","fund"
"afyonspor-fan-token","afyon"
"aga-carbon-credit","agac"
"aga-carbon-rewards","acar"
"aga-rewards","edc"
"agatech","agata"
"aga-token","aga"
"agave-token","agve"
"agenor","age"
"a-gently-used-2001-honda","usedcar"
"a-gently-used-nokia-3310","usedphone"
"age-of-apes","apes"
"ageofgods","aog"
"ageur","eura"
"ageur-plenty-bridge","egeur.e"
"agii","agii"
"agile","agl"
"agility","agi"
"agnus-ai","agn"
"agoras-currency-of-tau","agrs"
"agoric","bld"
"agos","agos"
"agrello","dlt"
"agri","agri"
"agricoin","agn"
"agrinode","agn"
"agritech","agt"
"agro-global","agro"
"ahatoken","aht"
"a-hunters-dream","caw"
"aiakita","aia"
"aiakitax","aix"
"ai-analysis-token","aiat"
"aibot","aibot"
"aicb","aicb"
"aichain","ait"
"ai-code","aicode"
"aicoin-2","ai"
"ai-coinova","aicn"
"ai-com","ai.com"
"ai-community","ai"
"aicore","aicore"
"aicrew","aicr"
"aidi-finance-2","aidi"
"ai-dogemini","aidogemini"
"ai-dragon","chatgpt"
"aiearn","aie"
"aienglish","aien"
"aifi-protocol","aifi"
"ai-floki","aifloki"
"aigc-ordinals","aigc"
"a-i-genesis","aig"
"aigentx","aix"
"aihub","aih"
"ailayer","aly"
"aimage","mage"
"aimage-tools","aimage"
"aimalls","ait"
"aimbot","aimbot"
"aimedis-new","aimx"
"aimee","$aimee"
"ai-meta-club","amc"
"ainalysis","ail"
"ai-network","ain"
"ains-domains","ains"
"ainu-token","ainu"
"aion","aion"
"aioz-network","aioz"
"aipad","aipad"
"ai-pin","ai"
"ai-power-grid","aipg"
"aiptp","atmt"
"air","air"
"airb","airb"
"airbloc-protocol","abl"
"airealm-tech","airm"
"airight","airi"
"airnft-token","airt"
"airpuff","apuff"
"airswap","ast"
"airtnt","airtnt"
"airtor-protocol","ator"
"aishiba","shibai"
"aisignal","aisig"
"aisociety","ais"
"ai-supreme","aisp"
"ai-surf","aisc"
"aiswap","aiswap"
"ai-technology","aitek"
"aitk","aitk"
"aitom","aitom"
"ait-protocol","ait"
"ai-trader","ait"
"aitravis","tai"
"aittcoin","aitt"
"ai-waifu","$wai"
"aiwork","awo"
"ai-x","x"
"ajna-protocol","ajna"
"ajuna-network","baju"
"akamaru","aku"
"akash-network","akt"
"akino-inu","aki"
"aki-protocol","aki"
"akitaaaaaa","aaaaaa"
"akita-inu","akita"
"akita-inu-2","akt"
"akita-inu-3","akita"
"akita-inu-asa","akta"
"akitavax","akitax"
"akiverse-governance-token","akv"
"akropolis","akro"
"akropolis-delphi","adel"
"aktio","aktio"
"aktionariat-alan-frei-company-tokenized-shares","afs"
"aktionariat-art-leasing-and-invest-ag-tokenized-shares","arts"
"aktionariat-axelra-early-stage-ag-tokenized-shares","axras"
"aktionariat-ayurveda-ag-tokenized-shares","veda"
"aktionariat-bee-digital-growth-ag-tokenized-shares","bees"
"aktionariat-boss-info-ag-tokenized-shares","boss"
"aktionariat-carnault-ag-tokenized-shares","cas"
"aktionariat-clever-forever-education-ag-tokenized-shares","cfes"
"aktionariat-ddc-schweiz-ag-tokenized-shares","ddcs"
"aktionariat-ehc-kloten-sport-ag-tokenized-shares","ehck"
"aktionariat-fieldoo-ag-tokenized-shares","fdos"
"aktionariat-finelli-studios-ag-tokenized-shares","fnls"
"aktionariat-green-consensus-ag-tokenized-shares","dgcs"
"aktionariat-green-monkey-club-ag-tokenized-shares","gmcs"
"aktionariat-outlawz-food-ag-tokenized-shares","vegs"
"aktionariat-parknsleep-ag-tokenized-shares","pns"
"aktionariat-pension-dynamics-ag-tokenized-shares","pds"
"aktionariat-realunit-schweiz-ag-tokenized-shares","realu"
"aktionariat-servicehunter-ag-tokenized-shares","dqts"
"aktionariat-sia-swiss-influencer-award-ag-tokenized-shares","sias"
"aktionariat-sportsparadise-switzerland-ag-tokenized-shares","spos"
"aktionariat-tbo-co-comon-accelerator-holding-ag-tokenized-shares","tbos"
"aktionariat-technologies-of-understanding-ag-tokenized-shares","vids"
"aktionariat-tv-plus-ag-tokenized-shares","tvpls"
"aktionariat-vereign-ag-tokenized-shares","vrgns"
"aladdin-dao","ald"
"aladdin-sdcrv","asdcrv"
"alan-musk","musk"
"alanyaspor-fan-token","ala"
"alaska-gold-rush","carat"
"alaya","atp"
"albedo","albedo"
"albemarle-meme-token","albemarle"
"albert","albert"
"alchemist","mist"
"alchemix","alcx"
"alchemix-eth","aleth"
"alchemix-usd","alusd"
"alchemy-pay","ach"
"aldrin","rin"
"alea","alea"
"aleph","aleph"
"aleph-im-wormhole","aleph"
"alephium","alph"
"aleph-zero","azero"
"alethea-artificial-liquid-intelligence-token","ali"
"alex-b20","$b20"
"alexgo","alex"
"alex-wrapped-usdt","susdt"
"alfa-romeo-racing-orlen-fan-token","sauber"
"alfa-society","alfa"
"alfprotocol","alf"
"algebra","algb"
"algo-casino-chips","chip"
"algomint","gomint"
"algorand","algo"
"algory","alg"
"algostable","stbl"
"algostake","stke"
"alibabacoin","abbc"
"alibaba-tokenized-stock-defichain","dbaba"
"alice-ai","alice"
"alicenet","alca"
"alien","alien"
"alienb","alienb"
"alienbase","alb"
"alien-chicken-farm","acf"
"alienfi","alien"
"alien-finance","alien"
"alienform","a4m"
"alien-milady-fumo","fumo"
"alienswap","alien"
"alien-worlds","tlm"
"alif-coin","alif"
"alink-ai","alink"
"alita","ali"
"alita-2","alita"
"alitaai","alita"
"alitas","alt"
"alium-finance","alm"
"alkimi","$ads"
"all-art","aart"
"all-best-ico-satoshi","allbi"
"allbridge","abr"
"all-coins-yield-capital","acyc"
"alldomains","all"
"allianceblock-nexera","nxra"
"alliance-fan-token","all"
"alliance-x-trading","axt"
"all-in","allin"
"all-in-gpt","aigpt"
"all-in-one-wallet","aio"
"allinxswap","x"
"allium-finance","alm"
"allpaycoin","apcg"
"allsafe","asafe"
"alltoscan","ats"
"ally","aly"
"all-your-base","yobase"
"all-your-base-2","ayb"
"almira-wallet","almr"
"alongside-crypto-market-index","amkt"
"alon-mars","alonmars"
"alpaca","alpa"
"alpaca-finance","alpaca"
"alpha-2","alpha"
"alpha-ai","alpha ai"
"alphabet","alt"
"alphabet-erc404","alphabet"
"alpha-bot-calls","abc"
"alphabyte","$alpha"
"alphacoin","alpha"
"alpha-finance","alpha"
"alpha-gardeners","ag"
"alphai","αai"
"alphakek-ai","aikek"
"alphanova","anva"
"alpha-quark-token","aqt"
"alpha-radar-bot","arbot"
"alpharushai","rushai"
"alphascan","ascn"
"alpha-shards","alpha"
"alpha-shares-v2","$alpha"
"alphr","alphr"
"alpine","alp"
"alpine-f1-team-fan-token","alpine"
"altair","air"
"altava","tava"
"altbase","altb"
"altctrl","ctrl"
"alter","alter"
"altered-state-token","asto"
"alterna-network","altn"
"altfi","alt"
"altfins","afins"
"althea","althea"
"altitude","altd"
"altlayer","alt"
"alt-markets","amx"
"altsignals","asi"
"altura","alu"
"aluna","aln"
"alva","aa"
"alvara-protocol","alva"
"alvey-chain","walv"
"amar-token","amar"
"amasa","amas"
"amateras","amt"
"amaterasufi-izanagi","iza"
"amaterasu-omikami","omikami"
"amaurot","ama"
"amax-network","amax"
"amazewallet","amt"
"amazingteamdao","amazingteam"
"amazon-tokenized-stock-defichain","damzn"
"amazy","azy"
"ambbi","amb"
"amber","amb"
"amberdao","amber"
"ambire-wallet","wallet"
"ambit-finance","ambt"
"ambit-usd","ausd"
"ambo","ambo"
"ambra","ambr"
"amepay","ame"
"american-shiba","ushiba"
"amino","$amo"
"ammx","ammx"
"ammyi-coin","ami"
"amnis-aptos","amapt"
"amnis-staked-aptos-coin","stapt"
"amo","amo"
"amond","amon"
"amperechain","ampere"
"ampleforth","ampl"
"ampleforth-governance-token","forth"
"amplifi-dao","agg"
"amp-token","amp"
"amulet-protocol","amu"
"amulet-staked-sol","amtsol"
"anagata","aha"
"analos","analos"
"analysoor","zero"
"anarchy","anarchy"
"anchored-coins-chf","achf"
"anchored-coins-eur","aeur"
"anchor-protocol","anc"
"anchorswap","anchor"
"andrea-von-speed","vonspeed"
"andromeda-2","andr"
"anduschain","deb"
"andy","andy"
"andy-bsc","andy"
"andyerc","andy"
"andy-on-base","andy"
"andy-on-sol","andy"
"andy-the-wisguy","andy"
"angle-protocol","angle"
"angle-staked-agusd","stusd"
"angle-usd","usda"
"angola","agla"
"angryb","anb"
"angry-birds","brd"
"angry-bulls-club","abc"
"angry-doge","anfd"
"anima","anima"
"animal-army","animal"
"animal-concerts-token","anml"
"animalfam","totofo"
"animalia","anim"
"anime-base","anime"
"animeswap","ani"
"anime-token","ani"
"anita-max-wynn","wynn"
"aniverse","anv"
"aniverse-metaverse","aniv"
"ankaragucu-fan-token","anka"
"ankr","ankr"
"ankreth","ankreth"
"ankr-reward-bearing-ftm","ankrftm"
"ankr-reward-earning-matic","ankrmatic"
"ankr-staked-bnb","ankrbnb"
"anomus-coin","anom"
"anon","anon"
"anonbot","anonbot"
"anon-erc404","anon"
"anonify","oni"
"anon-inu","ainu"
"anon-web3","aw3"
"anonym-chain","anc"
"another-world","awm"
"anrkey-x","$anrx"
"answer-governance","agov"
"antara-raiders-royals","antt"
"ante-casino","chance"
"antfarm-governance-token","agt"
"antfarm-token","atf"
"antibot","atb"
"anti-global-warming-token","$agw"
"antimatter","tune"
"antmons","ams"
"antnetworx","antx"
"antofy","abn"
"anty-the-anteater","anty"
"anubit","anb"
"any-inu","ai"
"anypad","apad"
"anyswap","any"
"anzen-private-credit","pct"
"aok","aok"
"apass-coin","apc"
"ape-2","ape"
"apecoin","ape"
"aped","aped"
"aped-2","aped"
"apedao","apein"
"apedoge","aped"
"apegpt","apegpt"
"ape-in","apein"
"ape_in_records","air"
"apeironnft","aprs"
"apenft","nft"
"apepudgyclonexazukimilady","nft"
"apes","apes"
"apes-go-bananas","agb"
"apeswap-finance","banana"
"apewifhat","apewifhat"
"apexcoin-global","acx"
"apexit-finance","apex"
"apex-token-2","apex"
"apf-coin","apfc"
"api3","api3"
"apidae","apt"
"aping","aping"
"apin-pulse","apc"
"apis-finance","bep-20"
"apm-coin","apm"
"apollo","apl"
"apollo-2","apollo"
"apollo-crypto","apollo"
"apollon-limassol","apl"
"apollo-token","apollo"
"apollox-2","apx"
"appcoins","appc"
"appics","apx"
"appifysite","app"
"apple-cat","$acat"
"apple-pie","pie"
"apple-tokenized-stock-defichain","daapl"
"apricot","aprt"
"april","april"
"apron","apn"
"apsis","aps"
"aptopad","apd"
"aptos","apt"
"aptos-launch-token","alt"
"apu-s-club","apu"
"apwine","apw"
"apy-finance","apy"
"apyswap","apys"
"apy-vision","vision"
"aqtis","aqtis"
"aquadao","$aqua"
"aqua-goat","aquagoat"
"aqualibre","aqla"
"aquanee","aqdc"
"aquari","aquari"
"aquarius","aqua"
"aquariuscoin","arco"
"aquarius-loan","ars"
"arab-cat","arab"
"arabianchain","dubx"
"arabian-dragon","agon"
"arabic","abic"
"arable-protocol","acre"
"arafi","ara"
"aragon","ant"
"ara-token","ara"
"arbdoge-ai","aidoge"
"arbidoge","adoge"
"arbinyan","nyan"
"arbipad","arbi"
"arbismart-token","rbis"
"arbiten-10share","10share"
"arbitrove-alp","alp"
"arbitrum","arb"
"arbitrum-bridged-usdt-arbitrum","usdt"
"arbitrum-charts","arcs"
"arbitrum-ecosystem-index","arbi"
"arbitrum-exchange","arx"
"arbitrumpad","arbpad"
"arbius","aius"
"arb-protocol","arb"
"arbshib","aishib"
"arbswap","arbs"
"arbuz","arbuz"
"arc","arc"
"arcade-arcoin","arcn"
"arcadefi","arcade"
"arcade-protocol","arcd"
"arcadeum","arc"
"arcadium","arcadium"
"arcana-token","xar"
"arcanedex","arc"
"arcblock","abt"
"arch-aggressive-portfolio","aagg"
"archangel-token","archa"
"arch-balanced-portfolio","abal"
"archerswap-bow","bow"
"archerswap-hunter","hunt"
"arch-ethereum-div-yield","aedy"
"arch-ethereum-web3","web3"
"archethic","uco"
"archimedes","arch"
"architex","arcx"
"archi-token","archi"
"archive-ai","arcai"
"archloot","alt"
"arch-usd-div-yield","addy"
"archway","arch"
"arcona","arcona"
"arcs","arx"
"ardana","dana"
"ardor","ardr"
"area","area"
"aree-shards","aes"
"arena-gg","arena"
"arena-supply-crate","sply"
"arena-token","arena"
"areon-network","area"
"ares3-network","ares"
"ares-protocol","ares"
"argentine-football-association-fan-token","arg"
"argo","argo"
"argocoin","agc"
"argo-finance","argo"
"argon","argon"
"argonon-helium","arg"
"ari10","ari10"
"aria-currency","ria"
"arianee","aria20"
"arion","arion"
"arise-chikun","chikun"
"ari-swap","ari"
"arithfi","atf"
"ariva","arv"
"arix","arix"
"ark","ark"
"arkadiko-protocol","diko"
"arken-finance","$arken"
"arker-2","arker"
"arkham","arkm"
"ark-innovation-etf-defichain","darkk"
"arkitech","arki"
"arkreen-token","akre"
"ark-rivals","arkn"
"arkstart","arks"
"armor","armor"
"armour-wallet","armour"
"army-of-fortune-gem","afg"
"army-of-fortune-metaverse","afc"
"arowana-token","arw"
"arpa","arpa"
"arqma","arq"
"arrland-arrc","arrc"
"arrland-rum","rum"
"arsenal-fan-token","afc"
"artbyte","aby"
"artcoin","ac"
"artcpaclub","cpa-97530"
"art-de-finance","adf"
"artem","artem"
"artemis","mis"
"artemisai","atai"
"artemis-vision","arv"
"artery","artr"
"artgpt","agpt"
"arth","arth"
"arthswap","arsw"
"artichoke","choke"
"artificial-idiot","aii"
"artificial-intelligence","ai"
"artificial-intelligence-2","aid"
"artificial-neural-network-ordinals","ainn"
"artificial-robotic-tapestry-volts","volts"
"arti-project","arti"
"artizen","atnt"
"artl","artl"
"artmeta","$mart"
"artrade","atr"
"artt-network","artt"
"artube","att"
"artx","artx"
"artyfact","arty"
"arweave","ar"
"aryacoin","aya"
"aryze-eeur","eeur"
"aryze-egbp","egbp"
"aryze-eusd","eusd"
"asan-verse","asan"
"asap-sniper-bot","asap"
"ascend-2","asc"
"asct-avax-inscription","asct"
"asd","asd"
"asdi","asdi"
"asdi-reward","asdir"
"asgardx","odin"
"ash","ash"
"ash-dao","ash"
"ashswap","ash"
"ash-token","ash"
"asia-coin","asia"
"asic-token-pulsechain","asic"
"asix","asix"
"askobar-network","asko"
"asmatch","asm"
"as-monaco-fan-token","asm"
"aspo-world","aspo"
"asr-coin","asr"
"as-roma-fan-token","asr"
"assangedao","justice"
"assaplay","assa"
"assemble-protocol","asm"
"assent-protocol","asnt"
"assetlink","aset"
"assetmantle","mntl"
"astar","astr"
"astar-moonbeam","$xcastr"
"astarter","aa"
"aster","atc"
"asterix","astx"
"asteroids","roids"
"aston-martin-cognizant-fan-token","am"
"aston-villa-fan-token","avl"
"astraai","astra"
"astra-dao-2","astradao"
"astrafer","astrafer"
"astral-credits","xac"
"astrals-glxy","glxy"
"astra-nova","$rvv"
"astra-protocol-2","astra"
"astrazion","aznt"
"astriddao-token","atid"
"astrid-restaked-cbeth","rcbeth"
"astrid-restaked-reth","rreth"
"astrid-restaked-steth","rsteth"
"astro-2","astro"
"astroai","astroai"
"astro-babies","abb"
"astrobits","astrb"
"astro-cash","astro"
"astroelon","elonone"
"astrolescent","astrl"
"astro-pepe","astropepe"
"astropepex","apx"
"astroport","astroc"
"astroport-fi","astro"
"astrospaces-io","spaces"
"astroswap","astro"
"astrotools","astro"
"astrovault","axv"
"astrovault-xarch","xarch"
"astrovault-xatom","xatom"
"astrovault-xjkl","xjkl"
"astro-x","astrox"
"asva","asva"
"asx-capital","asx"
"asyagro","asy"
"asymetrix","asx"
"atalexv2","atalexv2"
"atalis","als"
"atari","atri"
"atc-launchpad","atcp"
"atem-network","atem"
"aternos-chain","atr"
"athenadao-token","ath"
"athena-dexfi","ath"
"athena-finance","ath"
"athena-returns-olea","olea"
"athenas","athenasv2"
"athenas-ai","ath"
"atheneum","aem"
"athens","ath"
"athos-finance","ath"
"athos-finance-usd","athusd"
"atlantis-loans","atl"
"atlas-aggregator","ata"
"atlas-dex","ats"
"atlas-fc-fan-token","atlas"
"atlas-navi","navi"
"atlas-protocol","atp"
"atlas-usv","usv"
"atletico-madrid","atm"
"atomicals","atomarc20"
"atomic-wallet-coin","awc"
"atomone","atom1"
"atpay","atpay"
"atrno","atrno"
"atrofarm","atrofa"
"atromg8","ag8"
"atropine","pine"
"attack-wagon","atk"
"attila","att"
"auction","auction"
"auctus","auc"
"audify","audi"
"auditchain","audt"
"audius","audio"
"audius-wormhole","audio"
"augur","rep"
"augury-finance","omen"
"aura","$aura"
"aura-bal","aurabal"
"auradx","dalle2"
"aura-finance","aura"
"aura-network","aura"
"aura-network-old","aura"
"aureo","aur"
"aureus","aur"
"aureus-nummus-gold","ang"
"aurigami","ply"
"aurinko-network","ark"
"aurix","aur"
"aurora","aoa"
"auroracoin","aur"
"aurora-dao","idex"
"aurora-near","aurora"
"auroratoken","aurora"
"aurora-token","$adtx"
"aurory","aury"
"aurum-gold","acg"
"aurusx","ax"
"ausdc","ausdc"
"ausd-seed-acala","aseed"
"ausd-seed-karura","aseed"
"australian-crypto-coin-green","accg"
"australian-safe-shepherd","ass"
"autentic","aut"
"authencity","auth"
"autism","autism"
"auto","auto"
"autoair-ai","aai"
"autobahn-network","txl"
"autocrypto","au"
"automata","ata"
"autominingtoken","amt"
"auton","atn"
"autonio","niox"
"autonolas","olas"
"autoshark","jaws"
"autosingle","autos"
"autumn","autumn"
"aux-coin","aux"
"avabot","avb"
"avadex-token","avex"
"ava-foundation-bridged-ava-bsc","ava"
"avalanche-2","avax"
"avalanche-wormhole","avax"
"avalaunch","xava"
"avalox","avalox"
"avante","axt"
"avaocado-dao","avg"
"avatago","agt"
"avata-network","avat"
"avatar404",""
"avatar-musk-verse","amv"
"avatly-2","avatly"
"avav-asc-20","avav"
"avax-has-no-chill","nochill"
"avaxlama","lama"
"avaxtars","avxt"
"avaxtech","atech"
"avbot","avbot"
"aventis-metaverse","avtm"
"aventus","avt"
"avenue-hamilton-token","aht"
"aves","avs"
"avian-network","avn"
"aviator","avi"
"avinoc","avinoc"
"avive","avive"
"avme","avme"
"avnrich","avn"
"avocado-bg","avo"
"avolend","avo"
"avoteo","avo"
"axe","axe"
"axe-2","axe"
"axe-cap","axe"
"axel","axel"
"axelar","axl"
"axelar-bridged-usdc-cosmos","usdc.axl"
"axelar-usdt","axlusdt"
"axia","axiav3"
"axial-token","axial"
"axie-infinity","axs"
"axie-infinity-shard-wormhole","axset"
"axiodex","axn"
"axion","axn"
"axis-defi","axis"
"axis-token","axis"
"axle-games","axle"
"axl-inu","axl"
"axlusdc","axlusdc"
"axlwbtc","axlwbtc"
"axlweth","axleth"
